UBIGEO,ANIO,MESES_CON_PROD,MESES_CON_PRECIO_OK,PRICE_COVERAGE,ALL_PRICE_OK
200804,2021,44,44,1.0,True
200804,2022,47,47,1.0,True
200804,2023,57,57,1.0,True
200804,2024,64,64,1.0,True
200805,2015,15,15,1.0,True
200805,2016,43,43,1.0,True
200805,2017,32,32,1.0,True
200805,2018,36,36,1.0,True
200805,2019,28,28,1.0,True
200805,2020,41,41,1.0,True
200805,2021,41,41,1.0,True
200805,2022,36,36,1.0,True
200805,2023,44,44,1.0,True
200805,2024,61,61,1.0,True
200806,2015,20,20,1.0,True
200806,2016,41,41,1.0,True
200806,2017,35,35,1.0,True
200806,2018,48,48,1.0,True
200806,2019,41,41,1.0,True
200806,2020,31,31,1.0,True
200806,2021,43,43,1.0,True
200806,2022,30,30,1.0,True
200806,2023,50,50,1.0,True
200806,2024,55,55,1.0,True
